%time,field.header.seq,field.header.stamp,field.header.frame_id,field.twist.linear.x,field.twist.linear.y,field.twist.linear.z,field.twist.angular.x,field.twist.angular.y,field.twist.angular.z
1574069807497322980,135,1574069807496929225,base_link,-0.0327071100473,0.0502284877002,0.220984473825,0.0,0.0,0.0
1574069807762577611,136,1574069807762271639,base_link,-0.0634669139981,0.0447614267468,0.195593222976,0.0,0.0,0.0
1574069808043284762,137,1574069808042848576,base_link,-0.074755191803,0.00979382544756,0.194816619158,0.0,0.0,0.0
1574069808314423617,138,1574069808314189572,base_link,-0.054343033582,0.00505461450666,0.110135801136,0.0,0.0,0.0
1574069808636387425,139,1574069808635983795,base_link,-0.0334575995803,-0.0014120163396,0.0189775954932,0.0,0.0,0.0
1574069808872597253,140,1574069808872330607,base_link,0.00518929446116,0.0230372920632,0.0344451665878,0.0,0.0,0.0
1574069809158739680,141,1574069809158290758,base_link,0.0355715528131,0.0115494458005,0.0544243380427,0.0,0.0,0.0
1574069809431886764,142,1574069809431647979,base_link,0.0547328591347,-0.0198737606406,0.022769799456,0.0,0.0,0.0
1574069809712940392,143,1574069809712464305,base_link,0.00634490745142,-0.0360399857163,0.0140292542055,0.0,0.0,0.0
1574069809972700726,144,1574069809972440938,base_link,-0.0198815874755,-0.0433694161475,-0.00235474528745,0.0,0.0,0.0
1574069810293538061,145,1574069810293252347,base_link,0.0133304242045,-0.00124454312027,-0.0446809530258,0.0,0.0,0.0
1574069810590739479,146,1574069810590283302,base_link,0.0627049207687,0.0119730196893,-0.0175571274012,0.0,0.0,0.0
1574069810853207490,147,1574069810852868410,base_link,0.0666040629148,0.038322031498,-0.0666379630566,0.0,0.0,0.0
1574069811159968490,148,1574069811159555660,base_link,0.10686185956,0.0639114230871,-0.0516037680209,0.0,0.0,0.0
1574069811441689541,149,1574069811441366845,base_link,0.145467191935,0.0591136030853,-0.0206073336303,0.0,0.0,0.0
1574069811687495150,150,1574069811687108651,base_link,0.157281860709,0.0623815245926,-0.00668668467551,0.0,0.0,0.0
1574069811981742216,151,1574069811981510235,base_link,0.147657424212,0.115198142827,0.084714256227,0.0,0.0,0.0
1574069812268772820,152,1574069812268237544,base_link,0.10987662524,0.146315142512,0.0882804244757,0.0,0.0,0.0
1574069812536424020,153,1574069812536168662,base_link,0.0787319168448,0.159457102418,0.117513552308,0.0,0.0,0.0
1574069812813849976,154,1574069812813428951,base_link,0.0181620325893,0.117128558457,0.0968580543995,0.0,0.0,0.0
1574069813092801594,155,1574069813092476352,base_link,-0.0293735526502,0.0958863422275,0.114406943321,0.0,0.0,0.0
1574069813408502149,156,1574069813408243567,base_link,-0.0358635932207,0.0753766074777,0.152365475893,0.0,0.0,0.0
1574069813747374717,157,1574069813746904288,base_link,0.054103191942,0.0795390307903,0.0701300650835,0.0,0.0,0.0
1574069813990705370,158,1574069813990451577,base_link,0.0374853052199,0.0652783513069,0.0389494374394,0.0,0.0,0.0
1574069814258773677,159,1574069814258337601,base_link,-0.0153438029811,0.0602539256215,0.130988031626,0.0,0.0,0.0
1574069814531636640,160,1574069814531333013,base_link,-0.00866354256868,0.041718903929,0.0539725273848,0.0,0.0,0.0
1574069814848101530,161,1574069814847585248,base_link,0.0628660023212,0.0920450165868,1.13141722977e-05,0.0,0.0,0.0
1574069815093086605,162,1574069815092896987,base_link,0.0318798832595,0.0581720657647,0.0225663073361,0.0,0.0,0.0
