%time,field.header.seq,field.header.stamp,field.header.frame_id,field.voltage,field.current,field.charge,field.capacity,field.design_capacity,field.percentage,field.power_supply_status,field.power_supply_health,field.power_supply_technology,field.present,field.location,field.serial_number
1574069818209770708,165,1574069818209373315,,16.2719993591,-2.24000000954,nan,nan,nan,0.990000009537,2,0,0,1,id0,
1574069818492307263,166,1574069818492154285,,16.313999176,-2.42000007629,nan,nan,nan,0.990000009537,2,0,0,1,id0,
1574069818753105796,167,1574069818752755603,,16.3199996948,-2.61999988556,nan,nan,nan,0.990000009537,2,0,0,1,id0,
1574069819011602208,168,1574069819011423663,,16.3090000153,-2.46000003815,nan,nan,nan,0.990000009537,2,0,0,1,id0,
1574069819275618459,169,1574069819275232637,,16.2670001984,-2.15000009537,nan,nan,nan,0.990000009537,2,0,0,1,id0,
1574069819551905620,170,1574069819551645370,,16.2630004883,-2.27999997139,nan,nan,nan,0.990000009537,2,0,0,1,id0,
1574069819813133072,171,1574069819812843961,,16.3120002747,-2.3900001049,nan,nan,nan,0.990000009537,2,0,0,1,id0,
1574069820106148826,172,1574069820105945742,,16.2709999084,-2.30999994278,nan,nan,nan,0.990000009537,2,0,0,1,id0,
1574069820400621311,173,1574069820400225947,,16.2700004578,-2.18000006676,nan,nan,nan,0.990000009537,2,0,0,1,id0,
1574069820671839725,174,1574069820671678181,,16.3129997253,-2.36999988556,nan,nan,nan,0.990000009537,2,0,0,1,id0,
1574069820910735875,175,1574069820910369185,,16.311000824,-2.43000006676,nan,nan,nan,0.990000009537,2,0,0,1,id0,
1574069821172158009,176,1574069821171964100,,16.3059997559,-2.46000003815,nan,nan,nan,0.990000009537,2,0,0,1,id0,
1574069821432148979,177,1574069821431830308,,16.283000946,-2.21000003815,nan,nan,nan,0.990000009537,2,0,0,1,id0,
1574069821700357318,178,1574069821700167090,,16.2989997864,-2.25,nan,nan,nan,0.990000009537,2,0,0,1,id0,
1574069822007715006,179,1574069822007346810,,16.313999176,-2.48000001907,nan,nan,nan,0.990000009537,2,0,0,1,id0,
1574069822329857685,180,1574069822329660350,,16.3099994659,-2.28999996185,nan,nan,nan,0.990000009537,2,0,0,1,id0,
1574069822589332667,181,1574069822589125344,,16.3059997559,-2.45000004768,nan,nan,nan,0.990000009537,2,0,0,1,id0,
1574069822843639883,182,1574069822843331086,,16.313999176,-2.32999992371,nan,nan,nan,0.990000009537,2,0,0,1,id0,
1574069823093314236,183,1574069823092490187,,16.3129997253,-2.11999988556,nan,nan,nan,0.990000009537,2,0,0,1,id0,
1574069823356611030,184,1574069823356300674,,16.2409992218,-2.27999997139,nan,nan,nan,0.990000009537,2,0,0,1,id0,
1574069823642709014,185,1574069823642448618,,16.3029994965,-2.29999995232,nan,nan,nan,0.990000009537,2,0,0,1,id0,
1574069823895198256,186,1574069823894813521,,16.3120002747,-2.26999998093,nan,nan,nan,0.990000009537,2,0,0,1,id0,
1574069824159630973,187,1574069824159465044,,16.3120002747,-2.23000001907,nan,nan,nan,0.990000009537,2,0,0,1,id0,
1574069824492586348,188,1574069824492223714,,16.2409992218,-2.23000001907,nan,nan,nan,0.990000009537,2,0,0,1,id0,
1574069824771957141,189,1574069824771791649,,16.3129997253,-2.25,nan,nan,nan,0.990000009537,2,0,0,1,id0,
1574069825014852538,190,1574069825014452285,,16.3069992065,-2.24000000954,nan,nan,nan,0.990000009537,2,0,0,1,id0,
