%time,field.header.seq,field.header.stamp,field.header.frame_id,field.rssi,field.channels0,field.channels1,field.channels2,field.channels3,field.channels4,field.channels5,field.channels6,field.channels7,field.channels8,field.channels9,field.channels10,field.channels11,field.channels12,field.channels13,field.channels14,field.channels15
1574069806582321684,133,1574069806581991513,,0,1652,1495,1491,1474,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494
1574069806871882158,134,1574069806871735491,,0,1652,1495,1491,1474,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494
1574069807177039944,135,1574069807176691283,,0,1653,1495,1491,1474,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494
1574069807516689440,136,1574069807516336118,,0,1652,1495,1491,1474,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494
1574069807812528373,137,1574069807812344828,,0,1653,1495,1491,1474,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494
1574069808136086862,138,1574069808135707098,,0,1653,1495,1491,1474,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494
1574069808387687440,139,1574069808387530020,,0,1653,1495,1491,1474,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494
1574069808692321313,140,1574069808691936068,,0,1653,1495,1491,1474,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494
1574069808961994567,141,1574069808961740944,,0,1653,1495,1491,1474,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494
1574069809273111330,142,1574069809272960857,,0,1680,1495,1491,1474,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494
1574069809586000801,143,1574069809585644413,,0,1690,1495,1491,1475,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494
1574069809856456392,144,1574069809856324253,,0,1745,1495,1491,1474,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494
1574069810099285895,145,1574069810098936740,,0,1747,1495,1491,1474,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494
1574069810385035972,146,1574069810384854897,,0,1747,1495,1491,1474,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494
1574069810665613119,147,1574069810665302698,,0,1747,1495,1491,1474,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494
1574069810939939657,148,1574069810939792298,,0,1747,1495,1491,1474,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494
1574069811247851000,149,1574069811247563064,,0,1747,1495,1491,1474,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494
1574069811500189456,150,1574069811500075339,,0,1747,1495,1491,1474,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494
1574069811781117358,151,1574069811780795924,,0,1747,1495,1491,1474,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494
1574069812085393312,152,1574069812085220928,,0,1747,1495,1491,1474,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494
1574069812413987726,153,1574069812413799570,,0,1747,1495,1491,1474,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494
1574069812739773306,154,1574069812739439032,,0,1747,1495,1491,1474,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494
1574069812990636827,155,1574069812990445976,,0,1747,1495,1491,1474,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494
1574069813267815749,156,1574069813267460526,,0,1747,1495,1491,1474,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494
1574069813544724557,157,1574069813544549285,,0,1747,1495,1491,1474,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494
1574069813842640112,158,1574069813842248498,,0,1747,1495,1491,1474,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494
1574069814151046201,159,1574069814150812608,,0,1747,1495,1491,1474,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494
1574069814431835263,160,1574069814431633831,,0,1747,1495,1491,1474,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494
1574069814708107134,161,1574069814707824752,,0,1747,1495,1491,1474,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494
1574069815000456565,162,1574069815000251731,,0,1747,1495,1491,1474,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494
1574069815302208885,163,1574069815301893965,,0,1747,1495,1491,1474,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494
1574069815570666937,164,1574069815570479053,,0,1747,1495,1491,1474,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494
1574069815824650873,165,1574069815824265485,,0,1747,1495,1491,1474,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494
1574069816099010130,166,1574069816098854048,,0,1747,1495,1491,1474,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494
1574069816333493132,167,1574069816333135746,,0,1747,1495,1491,1474,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494
1574069816588023099,168,1574069816587862955,,0,1747,1495,1491,1474,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494
1574069816845998039,169,1574069816845631449,,0,1747,1495,1491,1474,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494
1574069817130430602,170,1574069817130282684,,0,1747,1495,1491,1474,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494
1574069817400255415,171,1574069817400032190,,0,1747,1495,1491,1474,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494
1574069817698553729,172,1574069817698141207,,0,1747,1495,1491,1474,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494
1574069817948150929,173,1574069817947979492,,0,1747,1496,1491,1474,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494
1574069818170519425,174,1574069818170323651,,0,1747,1530,1491,1474,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494
1574069818466230613,175,1574069818466030061,,0,1747,1532,1491,1474,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494
1574069818728125720,176,1574069818727698683,,0,1747,1500,1491,1474,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494
1574069818984827983,177,1574069818984607280,,0,1747,1539,1491,1474,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494
1574069819245515916,178,1574069819245127053,,0,1747,1583,1490,1474,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494
1574069819500060291,179,1574069819499864524,,0,1747,1592,1490,1474,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494
1574069819766040660,180,1574069819765667284,,0,1747,1592,1491,1474,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494
1574069820024539069,181,1574069820024369704,,0,1747,1574,1490,1474,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494
1574069820313380597,182,1574069820313035050,,0,1747,1535,1491,1474,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494
1574069820629461959,183,1574069820629314566,,0,1747,1518,1491,1474,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494
1574069820873737167,184,1574069820873374346,,0,1747,1520,1491,1474,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494
1574069821110356991,185,1574069821110193741,,0,1747,1520,1491,1474,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494
1574069821362956452,186,1574069821362650792,,0,1747,1515,1491,1474,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494
1574069821622060336,187,1574069821621862940,,0,1747,1515,1491,1474,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494
1574069821907127782,188,1574069821906737685,,0,1747,1498,1491,1474,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494
1574069822187888331,189,1574069822187634180,,0,1747,1498,1491,1474,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494
